received_at,document_number,producer_id,variety_id,gross_weight_lb,net_weight_lb,notes,reference_code,plant_code,mercado_id,lbs_reference,lbs_difference,document_state_id,reception_type_id,weight_basis,quality_intent,reception_reference,species_id,quality_grade_id,returnable_container_id,quantity,gross_lb,tare_lb,net_lb,temperature_f
2026-04-19T23:35:00.000Z,,2,3,,21655.00,,PB-20260419-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260419-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260419-001,2,1,1,1665,0.000,0.000,21655.000,32.00
2026-04-20T23:05:00.000Z,,53,3,,2750.00,,RF-20260420-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,RF-20260420-001,,,,,,,,
,,,3,,,,,,,,,,,,,RF-20260420-001,2,1,1,170,0.000,0.000,2750.000,32.00
2026-04-21T00:22:00.000Z,,2,3,,8125.00,,PB-20260420-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260420-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260420-001,2,1,1,625,0.000,0.000,8125.000,32.00
2026-04-21T00:44:00.000Z,,51,41,,5850.00,,HBF-20260420-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260420-001,,,,,,,,
,,,41,,,,,,,,,,,,,HBF-20260420-001,2,1,1,486,0.000,0.000,5850.000,32.00
2026-04-21T13:11:00.000Z,,52,41,,3950.00,,KK-20260421-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260421-001,,,,,,,,
,,,41,,,,,,,,,,,,,KK-20260421-001,2,1,1,285,0.000,0.000,3950.000,32.00
2026-04-21T19:40:00.000Z,,51,41,,5800.00,,HBF-20260422-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260422-001,,,,,,,,
,,,41,,,,,,,,,,,,,HBF-20260422-001,2,1,1,429,0.000,0.000,5800.000,
2026-04-21T19:41:00.000Z,,52,3,,5870.00,,KK-20260421-002,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260421-002,,,,,,,,
,,,3,,,,,,,,,,,,,KK-20260421-002,2,1,1,435,0.000,0.000,5870.000,32.00
2026-04-23T00:20:00.000Z,,51,42,,8241.00,,HBF-20260422-002,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260422-002,,,,,,,,
,,,42,,,,,,,,,,,,,HBF-20260422-002,2,1,1,680,0.000,0.000,8241.000,32.00
2026-04-23T00:21:00.000Z,,2,42,,24561.00,,PB-20260422-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260422-001,,,,,,,,
,,,42,,,,,,,,,,,,,PB-20260422-001,2,1,1,1889,0.000,0.000,24561.000,32.00
2026-04-23T00:24:00.000Z,,3,43,,5196.00,,JDS-20260422-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JDS-20260422-001,,,,,,,,
,,,43,,,,,,,,,,,,,JDS-20260422-001,2,1,1,433,0.000,0.000,5196.000,32.00
2026-04-22T20:28:00.000Z,,52,3,,4490.00,,KK-20260422-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260422-001,,,,,,,,
,,,3,,,,,,,,,,,,,KK-20260422-001,2,1,1,345,0.000,0.000,4490.000,32.00
2026-04-23T23:58:00.000Z,,2,42,,22713.00,,PB-20260423-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260423-001,,,,,,,,
,,,42,,,,,,,,,,,,,PB-20260423-001,2,1,1,1747,0.000,0.000,22713.000,32.00
2026-04-24T00:02:00.000Z,,51,41,,6100.00,,HBF-20260423-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260423-001,,,,,,,,
,,,41,,,,,,,,,,,,,HBF-20260423-001,2,1,1,500,0.000,0.000,6100.000,32.00
2026-04-24T00:02:00.000Z,,3,44,,3522.00,,JDS-20260423-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JDS-20260423-001,,,,,,,,
,,,44,,,,,,,,,,,,,JDS-20260423-001,2,1,1,267,0.000,0.000,3522.000,32.00
2026-04-23T21:33:00.000Z,,52,43,,7300.00,,KK-20260424-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260424-001,,,,,,,,
,,,43,,,,,,,,,,,,,KK-20260424-001,2,1,1,519,0.000,0.000,7300.000,32.00
2026-04-25T00:06:00.000Z,,53,3,,1710.00,,RF-20260424-001,PINEBLOOM FARMS,1,,,1,2,net_lb,exportacion,RF-20260424-001,,,,,,,,
,,,3,,,,,,,,,,,,,RF-20260424-001,2,1,1,171,0.000,0.000,1710.000,32.00
2026-04-25T00:07:00.000Z,,53,42,,132.00,,RF-20260424-002,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,RF-20260424-002,,,,,,,,
,,,42,,,,,,,,,,,,,RF-20260424-002,2,1,1,10,0.000,0.000,132.000,32.00
2026-04-25T00:08:00.000Z,,3,45,,5000.00,,JDS-20260424-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JDS-20260424-001,,,,,,,,
,,,45,,,,,,,,,,,,,JDS-20260424-001,2,1,1,391,0.000,0.000,5000.000,32.00
2026-04-25T00:08:00.000Z,,2,3,,17337.00,,PB-20260424-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260424-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260424-001,2,1,1,1449,0.000,0.000,17337.000,32.00
2026-04-25T01:10:00.000Z,,51,41,,4306.00,,HBF-20260424-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260424-001,,,,,,,,
,,,41,,,,,,,,,,,,,HBF-20260424-001,2,1,1,353,0.000,0.000,4306.000,32.00
2026-04-25T01:11:00.000Z,,52,45,,13613.30,,KK-20260425-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260425-001,,,,,,,,
,,,45,,,,,,,,,,,,,KK-20260425-001,2,1,1,986,0.000,0.000,13613.300,32.00
2026-04-25T13:31:00.000Z,,3,44,,2805.00,,JDS-20260425-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JDS-20260425-001,,,,,,,,
,,,44,,,,,,,,,,,,,JDS-20260425-001,2,1,1,215,0.000,0.000,2805.000,32.00
2026-04-25T13:32:00.000Z,,52,41,,6101.00,,KK-20260425-002,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260425-002,,,,,,,,
,,,41,,,,,,,,,,,,,KK-20260425-002,2,1,1,469,0.000,0.000,6101.000,32.00
2026-04-25T13:34:00.000Z,,2,42,,18743.00,,PB-20260425-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260425-001,,,,,,,,
,,,42,,,,,,,,,,,,,PB-20260425-001,2,1,1,1441,0.000,0.000,18743.000,32.00
2026-04-25T13:35:00.000Z,,53,3,,3300.00,,RF-20260425-001,PINEBLOOM FARMS,1,,,1,2,net_lb,exportacion,RF-20260425-001,,,,,,,,
,,,3,,,,,,,,,,,,,RF-20260425-001,2,1,1,333,0.000,0.000,3300.000,32.00
2026-04-26T17:48:00.000Z,,51,42,,15775.00,,HBF-20260426-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260426-001,,,,,,,,
,,,42,,,,,,,,,,,,,HBF-20260426-001,2,1,1,1262,0.000,0.000,15775.000,32.00
2026-04-26T17:49:00.000Z,,52,41,,5400.00,,KK-20260426-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260426-001,,,,,,,,
,,,41,,,,,,,,,,,,,KK-20260426-001,2,1,1,391,0.000,0.000,5400.000,32.00
2026-04-27T21:20:00.000Z,,2,3,,13221.00,,PB-20260427-001,PINEBLOOM FARMS,1,,,1,2,net_lb,exportacion,PB-20260427-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260427-001,2,1,1,1017,0.000,0.000,13221.000,32.00
2026-04-28T00:15:00.000Z,,3,45,,7750.00,,JDS-20260427-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JDS-20260427-001,,,,,,,,
,,,45,,,,,,,,,,,,,JDS-20260427-001,2,1,1,596,0.000,0.000,7750.000,32.00
2026-04-28T00:16:00.000Z,,51,42,,10988.00,,HBF-20260427-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260427-001,,,,,,,,
,,,42,,,,,,,,,,,,,HBF-20260427-001,2,1,1,878,0.000,0.000,10988.000,32.00
2026-04-28T01:11:00.000Z,,2,42,,38045.00,,PB-20260427-002,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260427-002,,,,,,,,
,,,42,,,,,,,,,,,,,PB-20260427-002,2,1,1,2927,0.000,0.000,38045.000,32.00
2026-04-28T01:13:00.000Z,,54,45,,7820.00,,JER-20260427-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JER-20260427-001,,,,,,,,
,,,45,,,,,,,,,,,,,JER-20260427-001,2,1,1,600,0.000,0.000,7820.000,32.00
